x;sec
-12.566370614359172;1.0
-12.566270614359173;1.0000000050000004
-12.565370614359173;1.0000005000002086
-12.556370614359173;1.0000500020834182
-12.546370614359173;1.0002000333387566
-12.536370614359173;1.000450168811785
-12.526370614359173;1.000800533680581
-12.516370614359174;1.0012513034084611
-12.506370614359174;1.0018027039585782
-12.496370614359174;1.0024550120706597
-12.486370614359174;1.0032085556005355
-12.476370614359174;1.004063713923216
-12.466370614359175;1.0050209184004555
-12.456370614359175;1.0060806529138737
-12.446370614359175;1.0072434544648663
-12.436370614359175;1.0085099138426943
-12.426370614359175;1.009880676362313
-12.416370614359176;1.0113564426736636
-12.406370614359176;1.0129379696443284
-12.396370614359176;1.0146260713176753
-12.386370614359176;1.0164216199486813
-12.376370614359177;1.018325547120045
-12.366370614359177;1.0203388449411883
-12.356370614359177;1.0224625673331034
-12.346370614359177;1.0246978314021864
-12.336370614359177;1.0270458189064606
-12.326370614359178;1.029507777817843
-12.316370614359178;1.0320850239843826
-12.306370614359178;1.0347789428967005
-12.296370614359178;1.037590991563157
-12.286370614359178;1.0405227004986086
-12.276370614359179;1.0435756758319576
-12.266370614359179;1.0467516015380827
-12.256370614359179;1.0500522418001124
-12.24637061435918;1.053479443508446
-12.23637061435918;1.057035138903369
-12.22637061435918;1.06072134836858
-12.21637061435918;1.0645401833834918
-12.20637061435918;1.0684938496426841
-12.19637061435918;1.0725846503515066
-12.18637061435918;1.0768149897074544
-12.17637061435918;1.081187376577615
-12.166370614359181;1.0857044283832344
-12.156370614359181;1.0903688752032232
-12.146370614359181;1.0951835641092762
-12.136370614359182;1.1001514637462095
-12.126370614359182;1.105275669172078
-12.116370614359182;1.1105594069737221
-12.106370614359182;1.1160060406745407
-12.096370614359182;1.1216190764525151
-12.086370614359183;1.1274021691878726
-12.076370614359183;1.1333591288612168
-12.066370614359183;1.1394939273245424
-12.056370614359183;1.1458107054692528
-12.046370614359184;1.1523137808171537
-12.036370614359184;1.1590076555624207
-12.026370614359184;1.1658970250947147
-12.016370614359184;1.1729867870360138
-12.006370614359184;1.1802820508263203
-11.996370614359185;1.1877881478961998
-11.986370614359185;1.195510642467287
-11.976370614359185;1.203455343025097
-11.966370614359185;1.2116283145123086
-11.956370614359185;1.2200358912946376
