x;system
-12.566370614359172;undefined
-12.566270614359173;-1.0000000029361658E8
-12.565370614359173;-1000000.3312799778
-12.556370614359173;-10000.313340307848
-12.546370614359173;-2500.2933628227293
-12.536370614359173;-1111.3845142795003
-12.526370614359173;-625.2534640231685
-12.516370614359174;-400.2335483851063
-12.506370614359174;-277.9914374349635
-12.496370614359174;-204.27543441176832
-12.486370614359174;-156.4239792666129
-12.476370614359174;-123.61098772713542
-12.466370614359175;-100.13446328083322
-12.456370614359175;-82.7594123066374
-12.446370614359175;-69.53961453097023
-12.436370614359175;-59.24723054840131
-12.426370614359175;-51.07659578213401
-12.416370614359176;-44.48129729524614
-12.406370614359176;-39.08015200348374
-12.396370614359176;-34.600690609776365
-12.386370614359176;-30.843974865598362
-12.376370614359177;-27.662018290965765
-12.366370614359177;-24.94290326269498
-12.356370614359177;-22.600736839241144
-12.346370614359177;-20.56872846790309
-12.336370614359177;-18.79432913861969
-12.326370614359178;-17.235760612357254
-12.316370614359178;-15.85950017913871
-12.306370614359178;-14.638434094624886
-12.296370614359178;-13.550487035673632
-12.286370614359178;-12.577596275584341
-12.276370614359179;-11.70494011123981
-12.266370614359179;-10.920357885612631
-12.256370614359179;-10.213918454127034
-12.24637061435918;-9.57760821524839
-12.23637061435918;-9.00512099659428
-12.22637061435918;-8.491741811803982
-12.21637061435918;-8.034326324334714
-12.20637061435918;-7.6313895958636175
-12.19637061435918;-7.283334027055274
-12.18637061435918;-6.992871837538637
-12.17637061435918;-6.765740382568894
-12.166370614359181;-6.611885751806257
-12.156370614359181;-6.547436575284963
-12.146370614359181;-6.598084413689602
-12.136370614359182;-6.805118181991078
-12.126370614359182;-7.236818977680483
-12.116370614359182;-8.011622332178895
-12.106370614359182;-9.350013767548695
-12.096370614359182;-11.707326044866111
-12.086370614359183;-16.185736028903094
-12.076370614359183;-26.278439368660685
-12.066370614359183;-61.838358640390794
-12.056370614359183;409.53982988234696
-12.046370614359184;58.52163009732883
-12.036370614359184;36.05576447747529
-12.026370614359184;28.735397873534733
-12.016370614359184;25.696948623467943
-12.006370614359184;24.54077525212802
-11.996370614359185;24.44541692245521
-11.986370614359185;25.065413624552995
-11.976370614359185;26.241515244896046
-11.966370614359185;27.90140443276159
-11.956370614359185;30.019504079553734
-11.946370614359186;32.598791372874125
-11.936370614359186;35.66196504000999
-11.926370614359186;39.24701107227448
-11.916370614359186;43.4050102673135
-11.906370614359187;48.199164293479704
-11.896370614359187;53.70451698395195
-11.886370614359187;60.0080841862023
-11.876370614359187;67.20922492044603
-11.866370614359187;75.42015168093022
-11.856370614359188;84.7665177048573
-11.846370614359188;95.38804870196823
-11.836370614359188;107.43921391169008
-11.826370614359188;121.08996094589831
-11.816370614359188;136.52657297198908
-11.806370614359189;153.95274591819197
-11.796370614359189;173.59102647424197
-11.786370614359189;195.6847962557451
-11.77637061435919;220.50103018455286
-11.76637061435919;248.33409431048688
-11.75637061435919;279.51087725568544
-11.74637061435919;314.3975695821854
-11.73637061435919;353.4084191508987
-11.72637061435919;397.016804055058
-11.71637061435919;445.7689874848499
-11.70637061435919;500.3009629243506
-11.696370614359191;561.3588765950057
-11.686370614359191;629.8236401635028
-11.676370614359191;706.7405328278898
-11.666370614359192;793.3548499799966
-11.656370614359192;891.1549987489792
-11.646370614359192;1001.9248853687621
-11.636370614359192;1127.8080086783918
-11.626370614359193;1271.3864018195634
-11.616370614359193;1435.7784988780465
-11.606370614359193;1624.7612135222996
-11.596370614359193;1842.9230983400994
-11.586370614359193;2095.8575387214696
-11.576370614359194;2390.407705701686
-11.566370614359194;2734.978699105139
-11.556370614359194;3139.937303328101
-11.546370614359194;3618.1265380042746
-11.536370614359194;4185.531395101467
-11.526370614359195;4862.144774476804
-11.516370614359195;5673.10003028384
-11.506370614359195;6650.160682421201
-11.496370614359195;7833.691561681204
-11.486370614359195;9275.283060959833
-11.476370614359196;11041.26728842507
-11.466370614359196;13217.460666035646
-11.456370614359196;15915.605141809061
-11.446370614359196;19282.17958171755
-11.436370614359197;23510.544204045502
-11.426370614359197;28857.810155853047
-11.416370614359197;35668.464539807595
-11.406370614359197;44407.73906334836
-11.396370614359197;55709.16226749712
-11.386370614359198;70442.95836567384
-11.376370614359198;89815.396581394
-11.366370614359198;115514.58087161809
-11.356370614359198;149926.70079389977
-11.346370614359198;196460.44499386253
-11.336370614359199;260039.50646350248
-11.326370614359199;347859.72322938463
-11.316370614359199;470568.59326398687
-11.3063706143592;644128.7614613588
-11.2963706143592;892806.2308406879
-11.2863706143592;1254038.458467445
-11.2763706143592;1786499.4678838067
-11.2663706143592;2583703.3552544457
-11.2563706143592;3797393.613138985
-11.2463706143592;5678592.579826848
-11.2363706143592;8651253.472860511
-11.226370614359201;1.3447590413622899E7
-11.216370614359201;2.136321493261819E7
-11.206370614359201;3.47517496257847E7
-11.196370614359202;5.8013266969577186E7
-11.186370614359202;9.96362757712414E7
-11.176370614359202;1.7657284081333315E8
-11.166370614359202;3.2399748673362285E8
-11.156370614359203;6.180688105727303E8
-11.146370614359203;1.2317323945953493E9
-11.136370614359203;2.5794170045697875E9
-11.126370614359203;5.716844039911524E9
-11.116370614359203;1.3529027109653282E10
-11.106370614359204;3.4569805840431E10
-11.096370614359204;9.675421277404124E10
-11.086370614359204;3.022476692494264E11
-11.076370614359204;1.0809974060749368E12
-11.066370614359204;4.586678673069877E12
-11.056370614359205;2.431724318198352E13
-11.046370614359205;1.7451106958675438E14
-11.036370614359205;1.936529425435648E15
-11.026370614359205;4.2531322637767256E16
-11.016370614359206;3.185288902220745E18
-11.006370614359206;4.3075839130680935E21
-11.005574287564276;1.0005334820290967E22
-10.996574287564275;1.0000053333542841E33
-10.996370614359206;1.2246073108141117E34
-10.995674287564276;1.0000000533589565E44
-10.995574287564276;undefined
-10.995474287564276;-1.0000000511599042E44
-10.994574287564276;-1.0000053330543695E33
-10.986370614359206;-2.492430846123116E22
-10.985574287564276;-1.0005334820092817E22
-10.976370614359206;-7.649390767223907E18
